status	concept_doi	version_doi	note
drop_version	10.5281/zenodo.14265085	10.5281/zenodo.14265086	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13271359	10.5281/zenodo.13271360	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17725302	10.5281/zenodo.17725303	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15774794	10.5281/zenodo.15774795	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17334784	10.5281/zenodo.17334785	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14851775	10.5281/zenodo.14851776	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17700870	10.5281/zenodo.17700871	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17543024	10.5281/zenodo.17543025	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13939333	10.5281/zenodo.13939334	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16271315	10.5281/zenodo.16271316	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16875931	10.5281/zenodo.16875932	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.3367287	10.5281/zenodo.3367288	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15228364	10.5281/zenodo.15228365	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14703489	10.5281/zenodo.14703490	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17278270	10.5281/zenodo.17278271	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10646131	10.5281/zenodo.10646132	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.12635100	10.5281/zenodo.15797834	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.12635100	10.5281/zenodo.12635101	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10700651	10.5281/zenodo.10700652	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14535818	10.5281/zenodo.14535819	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14891022	10.5281/zenodo.14891023	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15270421	10.5281/zenodo.17372983	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15270421	10.5281/zenodo.15270422	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15187359	10.5281/zenodo.15187360	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15309315	10.5281/zenodo.15737665	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15309315	10.5281/zenodo.15309316	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10881294	10.5281/zenodo.10881295	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10881294	10.5281/zenodo.10883432	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15074250	10.5281/zenodo.15074251	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17339318	10.5281/zenodo.17339319	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14221889	10.5281/zenodo.14221890	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13347987	10.5281/zenodo.13347988	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15360443	10.5281/zenodo.17598252	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15360443	10.5281/zenodo.15360444	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15516240	10.5281/zenodo.17710618	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15516240	10.5281/zenodo.15516241	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17356504	10.5281/zenodo.17356505	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15004762	10.5281/zenodo.15004763	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14002135	10.5281/zenodo.14002136	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15318382	10.5281/zenodo.15318383	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14728166	10.5281/zenodo.14728167	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14849314	10.5281/zenodo.15594461	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14849314	10.5281/zenodo.14849315	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15382468	10.5281/zenodo.15382469	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17236846	10.5281/zenodo.17236847	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14800378	10.5281/zenodo.14800379	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10413067	10.5281/zenodo.10413068	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15473685	10.5281/zenodo.15473686	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17611849	10.5281/zenodo.17611850	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14763941	10.5281/zenodo.14763942	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14536052	10.5281/zenodo.14536053	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15461573	10.5281/zenodo.15461574	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17720471	10.5281/zenodo.17720472	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14945474	10.5281/zenodo.14945475	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14945474	10.5281/zenodo.15097278	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15518477	10.5281/zenodo.15518478	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17647678	10.5281/zenodo.17647679	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.11395082	10.5281/zenodo.11395083	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.11395082	10.5281/zenodo.14524981	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10570844	10.5281/zenodo.10570845	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15341064	10.5281/zenodo.15402084	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15341064	10.5281/zenodo.15341065	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15633217	10.5281/zenodo.15633218	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13332498	10.5281/zenodo.13332499	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10090840	10.5281/zenodo.10090841	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16628557	10.5281/zenodo.16628558	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15630062	10.5281/zenodo.15630063	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10960205	10.5281/zenodo.10960206	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10960205	10.5281/zenodo.14602554	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10960205	10.5281/zenodo.14761167	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14589144	10.5281/zenodo.14589145	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10154210	10.5281/zenodo.10154211	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14866170	10.5281/zenodo.14866171	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14005311	10.5281/zenodo.14005312	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10055882	10.5281/zenodo.10055883	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17206463	10.5281/zenodo.17206464	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15739002	10.5281/zenodo.15739003	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17579439	10.5281/zenodo.17579440	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17256507	10.5281/zenodo.17256508	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10853666	10.5281/zenodo.10853667	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14264411	10.5281/zenodo.14264412	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17183827	10.5281/zenodo.17183828	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10447353	10.5281/zenodo.10447354	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14215049	10.5281/zenodo.17396558	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14215049	10.5281/zenodo.14215050	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13736272	10.5281/zenodo.13736273	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10254627	10.5281/zenodo.10254628	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15735858	10.5281/zenodo.15735859	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17178350	10.5281/zenodo.17178351	HasVersion + IsVersionOf match; dropping version DOI
missing_version_record	10.5281/zenodo.15182061	10.5281/zenodo.15182062	HasVersion points to DOI not present in datasets_dedup
drop_version	10.5281/zenodo.15182061	10.5281/zenodo.15281102	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15182061	10.5281/zenodo.15270722	HasVersion + IsVersionOf match; dropping version DOI
missing_version_record	10.5281/zenodo.15182061	10.5281/zenodo.15281032	HasVersion points to DOI not present in datasets_dedup
drop_version	10.5281/zenodo.14718944	10.5281/zenodo.14718945	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.11501375	10.5281/zenodo.11501376	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14327148	10.5281/zenodo.14327149	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14327148	10.5281/zenodo.15310141	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10606544	10.5281/zenodo.10606545	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.12664336	10.5281/zenodo.12664337	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15550483	10.5281/zenodo.15550484	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16970132	10.5281/zenodo.16970133	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.11518327	10.5281/zenodo.11518328	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17053337	10.5281/zenodo.17053338	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15130646	10.5281/zenodo.15130647	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.12772036	10.5281/zenodo.12772038	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.13124743	10.5281/zenodo.13124744	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15167275	10.5281/zenodo.15167276	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15306776	10.5281/zenodo.15306777	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14843340	10.5281/zenodo.14843341	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.11277448	10.5281/zenodo.11277449	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.11277448	10.5281/zenodo.15575888	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.11277448	10.5281/zenodo.14936465	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15573403	10.5281/zenodo.15573404	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15106533	10.5281/zenodo.15106534	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16314411	10.5281/zenodo.16314412	HasVersion + IsVersionOf match; dropping version DOI
